run,bus_id,station,time,duration,direction
1,8,X07,23722,52,1
1,4,X13,23793,53,1
1,0,X19,23810,51,1
1,8,X08,23886,59,1
1,1,X01,24014,55,0
1,8,X09,24023,59,1
1,3,X04,24077,44,0
1,13,X20,24104,44,0
1,10,X08,24169,47,1
1,8,X10,24173,45,1
1,11,X16,24218,58,0
1,2,X20,24254,47,1
1,10,X09,24301,51,1
1,11,X15,24354,58,0
1,3,X01,24397,51,0
1,0,X20,24403,47,0
1,10,X10,24412,58,1
1,11,X14,24497,58,0
1,0,X19,24551,52,0
1,10,X11,24581,59,1
1,4,X20,24605,50,1
1,7,X06,24683,58,0
1,14,X06,24742,57,1
1,8,X15,24753,59,1
1,8,X16,24915,59,1
1,13,X13,24922,43,0
1,7,X04,24948,58,0
1,2,X18,24995,53,0
1,8,X17,25062,59,1
1,14,X09,25101,43,1
1,1,X07,25150,56,1
1,1,X08,25277,56,1
1,14,X12,25389,59,1
1,1,X09,25428,46,1
1,14,X13,25525,58,1
1,14,X14,25650,49,1
1,12,X17,25674,51,1
1,2,X12,25754,53,0
1,3,X09,25766,42,1
1,14,X15,25811,56,1
1,12,X18,25826,58,1
1,12,X19,25937,51,1
1,7,X04,25962,59,1
1,3,X11,26069,56,1
1,12,X20,26075,45,1
1,7,X05,26104,51,1
1,2,X09,26198,58,0
1,2,X08,26318,42,0
1,7,X07,26444,56,1
1,2,X06,26533,59,0
1,9,X06,26544,43,1
1,9,X07,26698,59,1
1,4,X07,26723,57,0
1,10,X16,26750,57,0
1,3,X18,26820,55,1
1,9,X08,26837,58,1
1,9,X09,27008,58,1
1,4,X05,27055,53,0
1,12,X14,27331,52,0
1,4,X02,27451,52,0
1,7,X17,27451,51,1
1,11,X10,27484,57,1
1,12,X13,27494,59,0
1,1,X18,27537,59,0
1,12,X12,27762,59,0
1,2,X04,27792,59,1
1,7,X20,27805,44,1
1,6,X01,27875,42,0
1,12,X11,27889,59,0
1,9,X18,27940,46,1
1,13,X11,27953,56,1
1,2,X05,27972,58,1
1,12,X10,28041,45,0
1,13,X12,28079,49,1
1,2,X06,28119,41,1
1,3,X16,28143,56,0
1,14,X11,28146,49,0
1,0,X13,28483,57,1
1,8,X01,28543,46,1
1,4,X07,28568,57,1
1,5,X14,28694,44,0
1,1,X09,28733,58,0
1,4,X09,28819,49,1
1,8,X04,28851,42,1
1,1,X08,28858,58,0
1,7,X16,28880,48,0
1,3,X09,28992,49,0
1,14,X05,29014,54,0
1,11,X20,29050,59,0
1,6,X09,29055,48,1
1,8,X06,29074,59,1
1,0,X18,29106,58,1
1,3,X08,29109,57,0
1,14,X04,29134,50,0
1,1,X06,29170,51,0
1,8,X07,29207,56,1
1,3,X07,29262,59,0
1,10,X01,29334,55,1
1,1,X04,29378,46,0
1,11,X19,29380,59,0
1,3,X06,29419,59,0
1,4,X15,29424,54,1
1,0,X20,29427,58,1
1,5,X08,29450,57,0
1,1,X03,29493,57,0
1,11,X18,29533,43,0
1,3,X05,29544,58,0
1,2,X19,29557,43,1
1,13,X19,29567,59,0
1,5,X07,29594,49,0
1,1,X02,29613,49,0
1,8,X10,29651,59,1
1,3,X04,29674,43,0
1,13,X18,29704,59,0
1,1,X01,29746,54,0
1,5,X06,29760,56,0
1,8,X11,29778,57,1
1,13,X17,29852,59,0
1,5,X05,29876,56,0
1,6,X17,29975,52,1
1,13,X16,29979,59,0
1,10,X07,30041,53,1
1,13,X15,30090,58,0
1,6,X18,30092,52,1
1,15,X12,30172,56,1
1,14,X02,30195,58,1
1,6,X19,30236,47,1
1,7,X04,30288,50,0
1,15,X13,30303,57,1
1,2,X19,30331,57,0
1,14,X03,30361,59,1
1,6,X20,30387,45,1
1,11,X10,30388,54,0
1,15,X14,30429,53,1
1,2,X18,30452,52,0
1,7,X03,30455,41,0
1,14,X04,30513,42,1
1,0,X14,30580,57,0
1,2,X17,30582,57,0
1,4,X19,30635,56,0
1,14,X05,30670,55,1
1,15,X16,30679,53,1
1,7,X01,30684,58,0
1,0,X13,30720,57,0
1,4,X18,30761,50,0
1,12,X10,30787,58,1
1,1,X04,30792,53,1
1,11,X06,30838,59,0
1,0,X12,30857,57,0
1,12,X11,30914,50,1
1,1,X05,30949,48,1
1,11,X05,30954,44,0
1,4,X16,31004,53,0
1,1,X06,31071,54,1
1,3,X05,31222,57,1
1,6,X17,31228,41,0
1,5,X02,31248,46,1
1,10,X18,31250,47,1
1,13,X05,31275,52,0
1,2,X11,31282,58,0
1,14,X12,31334,54,1
1,3,X06,31341,54,1
1,5,X03,31387,44,1
1,2,X10,31416,55,0
1,7,X01,31421,57,1
1,3,X07,31461,57,1
1,14,X13,31461,59,1
1,6,X14,31589,58,0
1,0,X04,31655,57,0
1,8,X16,31671,47,0
1,15,X19,31696,53,0
1,0,X03,31801,58,0
1,4,X09,31845,58,0
1,1,X14,31879,53,1
1,0,X02,31925,59,0
1,4,X08,31964,45,0
1,1,X15,31994,46,1
1,0,X01,32103,48,0
1,15,X15,32104,55,0
1,4,X07,32135,58,0
1,10,X18,32159,45,0
1,15,X14,32270,51,0
1,4,X06,32332,57,0
1,3,X16,32387,56,1
1,6,X07,32398,54,0
1,15,X13,32417,54,0
1,12,X19,32421,50,0
1,7,X10,32423,48,1
1,3,X17,32516,50,1
1,13,X01,32517,58,1
1,1,X20,32525,59,1
1,15,X12,32545,46,0
1,6,X06,32547,59,0
1,14,X20,32650,46,0
1,15,X11,32653,53,0
1,13,X02,32660,59,1
1,6,X05,32705,59,0
1,6,X04,32839,59,0
1,5,X18,32939,56,1
1,6,X03,32961,59,0
1,12,X14,32965,59,0
1,8,X05,32993,59,0
1,10,X10,33092,59,0
1,12,X13,33098,58,0
1,8,X04,33153,54,0
1,10,X09,33229,56,0
1,8,X03,33276,57,0
1,0,X04,33283,56,1
1,12,X11,33329,53,0
1,10,X08,33345,51,0
1,14,X14,33350,55,0
1,3,X20,33380,50,0
1,8,X02,33388,58,0
1,15,X04,33441,55,0
1,14,X13,33472,58,0
1,3,X19,33515,59,0
1,12,X09,33572,52,0
1,15,X03,33597,56,0
1,14,X12,33598,55,0
1,3,X18,33630,59,0
1,9,X16,33665,56,1
1,15,X02,33717,50,0
1,0,X08,33720,44,1
1,3,X17,33782,58,0
1,12,X07,33831,50,0
1,14,X10,33834,43,0
1,15,X01,33846,58,0
1,1,X12,33902,52,0
1,3,X16,33916,57,0
1,10,X03,33950,45,0
1,5,X18,33979,50,0
1,14,X08,34013,51,0
1,1,X11,34028,55,0
1,10,X02,34070,47,0
1,7,X20,34093,53,0
1,5,X17,34111,51,0
1,14,X07,34134,56,0
1,1,X10,34182,58,0
1,10,X01,34185,58,0
1,7,X19,34237,45,0
1,5,X16,34244,52,0
1,14,X06,34269,55,0
1,8,X01,34303,49,1
1,0,X12,34327,42,1
1,12,X02,34388,49,0
1,2,X11,34400,58,1
1,14,X05,34411,59,0
1,8,X02,34418,59,1
1,2,X12,34565,58,1
1,7,X16,34578,49,0
1,1,X06,34598,43,0
1,3,X09,34625,57,0
1,2,X13,34716,55,1
1,3,X08,34760,49,0
1,7,X14,34844,56,0
1,14,X01,34846,45,0
1,1,X04,34867,58,0
1,1,X03,34987,59,0
1,3,X05,35096,56,0
1,4,X14,35119,53,1
1,11,X17,35196,43,0
1,0,X19,35201,57,1
1,5,X07,35249,49,0
1,7,X10,35310,56,0
1,9,X12,35409,49,0
1,3,X02,35423,56,0
1,2,X19,35490,56,1
1,3,X01,35556,57,0
1,8,X12,35582,43,1
1,2,X20,35621,52,1
1,13,X19,35670,49,0
1,9,X10,35673,47,0
1,16,X16,35673,45,0
1,12,X04,35683,55,1
1,8,X13,35716,44,1
1,11,X12,35760,41,0
1,9,X09,35773,43,0
1,8,X14,35841,58,1
1,6,X16,35855,44,1
1,11,X11,35866,44,0
1,7,X05,35878,59,0
1,0,X20,35898,47,0
1,12,X06,35899,45,1
1,16,X14,35907,58,0
1,15,X12,35937,51,1
1,6,X17,35954,41,1
1,8,X15,36008,59,1
1,7,X04,36012,59,0
1,12,X07,36032,45,1
1,16,X13,36047,53,0
1,9,X06,36064,41,0
1,15,X13,36069,58,1
1,1,X01,36080,56,1
1,11,X09,36120,42,0
1,8,X16,36127,59,1
1,6,X18,36133,42,1
